,NAME,ID,NAME_TYPE,CLASS,MASS [kg],FALL,YEAR,LAT,LONG,COORDINATE,COUNTRY,CONTINENT
6696,Davis Mountains,6615,Valid,"Iron, IIIAB",689.0,Found,1903,30.75,-104.25,"(30.75, -104.25)",United States,North America
6697,Davy (a),6616,Valid,L4,50.6,Found,1940,29.1,-97.6,"(29.1, -97.6)",United States,North America
6698,Davy (b),6617,Valid,H4,3.77,Found,1981,29.0083,-97.7056,"(29.00833, -97.70556)",United States,North America
6699,Dawn (a),6618,Valid,H6,7.68,Found,1981,34.86,-102.12,"(34.86, -102.12)",United States,North America
6702,De Hoek,6622,Valid,"Iron, ungrouped",20.93,Found,1960,-29.3833,23.1,"(-29.38333, 23.1)",South Africa,Africa
6704,De Nova,6624,Valid,L6,12.7,Found,1940,39.85,-102.95,"(39.85, -102.95)",United States,North America
6715,Deán Funes,6635,Valid,H5,9.26,Found,1977,-30.4333,-64.2,"(-30.43333, -64.2)",Argentina,South America
6716,Deelfontein,6636,Valid,"Iron, IAB-MG",28.0,Found,1932,-30.1833,23.2667,"(-30.18333, 23.26667)",South Africa,Africa
6719,Del Rio,6639,Valid,"Iron, IIF",3.6,Found,1965,29.3667,-100.967,"(29.36667, -100.96667)",United States,North America
6720,Delaware,6640,Valid,L4,8.35,Found,1972,35.2833,-93.5,"(35.28333, -93.5)",United States,North America
6721,Delegate,6641,Valid,"Iron, IIIAB-an",27.7,Found,1904,-37.0,149.033,"(-37.0, 149.03333)",Australia,Oceania
6734,Densmore (1950),6657,Valid,H6,11.3,Found,1950,39.5658,-99.6472,"(39.56583, -99.64722)",United States,North America
6736,Denver City,6661,Valid,"Iron, ungrouped",26.1,Found,1975,33.0714,-102.8,"(33.07139, -102.80028)",United States,North America
6737,Deport,6662,Valid,"Iron, IAB-sLL",15.0,Found,1926,33.5167,-95.3,"(33.51667, -95.3)",United States,North America
6740,Derrick Peak 00200,6666,Valid,"Iron, IIAB",10.0,Found,2000,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6741,Derrick Peak 00201,6667,Valid,"Iron, IIAB",2.69,Found,2000,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6742,Derrick Peak 88017,6668,Valid,"Iron, IIAB",63.0,Found,1988,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6743,Derrick Peak 88018,6669,Valid,"Iron, IIAB",4.0,Found,1988,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6751,Derrick Peak A78001,6677,Valid,"Iron, IIAB",15.2,Found,1978,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6752,Derrick Peak A78002,6678,Valid,"Iron, IIAB",7.19,Found,1978,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6755,Derrick Peak A78005,6681,Valid,"Iron, IIAB",18.6,Found,1978,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6757,Derrick Peak A78007,6683,Valid,"Iron, IIAB",11.8,Found,1978,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6758,Derrick Peak A78008,6684,Valid,"Iron, IIAB",59.4,Found,1978,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6759,Derrick Peak A78009,6685,Valid,"Iron, IIAB",138.1,Found,1978,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6761,Derrick Peak A78011,6687,Valid,"Iron, IIAB",31.8,Found,1978,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6762,Derrick Peak A78012,6688,Valid,"Iron, IIAB",26.0,Found,1978,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6763,Derrick Peak A78013,6689,Valid,"Iron, IIAB",10.6,Found,1978,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6764,Derrick Peak A78014,6690,Valid,"Iron, IIAB",2.25,Found,1978,-80.0667,156.383,"(-80.06667, 156.38333)",Antarctica,Antarctica
6774,Dhofar 005,6704,Valid,L6,125.5,Found,2000,18.1667,54.1667,"(18.16667, 54.16667)",Oman,Asia
6776,Dhofar 007,6706,Valid,Eucrite-cm,21.27,Found,1999,18.335,54.1817,"(18.335, 54.18167)",Oman,Asia
6777,Dhofar 008,6707,Valid,L3.3,2.2,Found,1999,18.3417,54.1883,"(18.34167, 54.18833)",Oman,Asia
6778,Dhofar 009,6708,Valid,L6,2.1,Found,1999,18.2817,54.11,"(18.28167, 54.11)",Oman,Asia
6779,Dhofar 010,6709,Valid,H6,3.53,Found,1999,18.3383,54.1983,"(18.33833, 54.19833)",Oman,Asia
6781,Dhofar 012,6711,Valid,L4,4.47,Found,2000,18.3583,54.2333,"(18.35833, 54.23333)",Oman,Asia
6789,Dhofar 020,6719,Valid,H4/5,256.0,Found,2000,19.0333,54.5167,"(19.03333, 54.51667)",Oman,Asia
6790,Dhofar 021,6720,Valid,H5/6,2.53,Found,2000,18.1533,54.1783,"(18.15333, 54.17833)",Oman,Asia
6798,Dhofar 029,6728,Valid,H6,2.79,Found,1999,19.1005,54.8235,"(19.1005, 54.8235)",Oman,Asia
6801,Dhofar 032,6731,Valid,L6,4.0,Found,1999,19.122,54.7947,"(19.122, 54.79467)",Oman,Asia
6810,Dhofar 041,6740,Valid,H5,2.36,Found,1999,19.1007,54.82,"(19.10067, 54.82)",Oman,Asia
6818,Dhofar 049,6748,Valid,L4/5,2.16,Found,1999,19.176,54.8453,"(19.176, 54.84533)",Oman,Asia
6826,Dhofar 057,6756,Valid,L6,4.59,Found,1999,19.1622,54.7665,"(19.16217, 54.7665)",Oman,Asia
6827,Dhofar 058,6757,Valid,H4,8.85,Found,1999,19.1707,54.7597,"(19.17067, 54.75967)",Oman,Asia
6838,Dhofar 069,6768,Valid,H4,10.08,Found,1999,19.1587,54.731,"(19.15867, 54.731)",Oman,Asia
6843,Dhofar 074,6773,Valid,H4,2.0,Found,1999,19.1672,54.781,"(19.16717, 54.781)",Oman,Asia
6845,Dhofar 076,6775,Valid,H6,2.88,Found,1999,19.2177,54.5673,"(19.21767, 54.56733)",Oman,Asia
6863,Dhofar 094,6793,Valid,L5,4.39,Found,1999,18.665,54.5667,"(18.665, 54.56667)",Oman,Asia
6869,Dhofar 100,6799,Valid,L5,2.55,Found,1999,18.9097,54.4765,"(18.90967, 54.4765)",Oman,Asia
6881,Dhofar 1010,6811,Valid,H4,2.3,Found,2002,18.5542,54.0025,"(18.55417, 54.00253)",Oman,Asia
6898,Dhofar 1026,6828,Valid,H6,10.5,Found,2003,18.6595,54.2463,"(18.65952, 54.2463)",Oman,Asia
6899,Dhofar 1027,6829,Valid,H5/6,14.94,Found,2003,18.66,54.2455,"(18.66003, 54.24553)",Oman,Asia
6901,Dhofar 1029,6831,Valid,H5,2.52,Found,2003,18.3982,54.0784,"(18.39818, 54.07842)",Oman,Asia
6924,Dhofar 105,6854,Valid,H5,2.98,Found,1999,19.3352,54.7918,"(19.33517, 54.79183)",Oman,Asia
